Trade Number,Entry Date,Entry Price,Exit Date,Exit Price,Trade Position,Trade Pnl,Trade Duration,Max DD,Max DD Duration,Max Profit,Max Loss,Max Recovery,Profitable,Trade Side
1,2000-07-19,1444.0,2000-08-07,1322.95,-1.0,0.08382963988919667,19,-0.020812780447442947,8,0.08805401662049861,-0.0,0.08805401662049861,True,Short
2,2000-08-25,1380.95,2000-09-18,1364.6,1.0,-0.011839675585647691,24,-0.07277298362438,4,0.0657156305441906,-0.01183967558564758,0.07678800073166281,False,Long
3,2000-09-21,1331.45,2000-10-09,1275.0,-1.0,0.042397386308160256,18,-0.030813828645050334,8,0.049307146344211294,-0.0,0.049307146344211183,True,Short
4,2000-10-17,1164.4,2000-10-25,1182.85,-1.0,-0.015845070422535024,8,-0.03697634354384649,3,0.02194263139814523,-0.015845070422535024,0.02581896551724161,False,Short
5,2000-11-01,1207.6,2000-11-17,1239.85,1.0,0.02670586286849952,16,-0.04610667819661185,6,0.053370321298443324,0.0,0.053370321298443324,True,Long
6,2000-12-01,1282.7,2000-12-15,1315.45,1.0,0.02553208076713176,14,-0.026313841598815557,2,0.05324705698916343,-0.0008185857955873566,0.054109936410096315,True,Long
7,2000-12-20,1297.5,2001-01-04,1315.0,-1.0,-0.01348747591522148,15,-0.07534493968070521,7,0.06689788053949897,-0.013487475915221703,0.06689788053949908,False,Short
8,2001-01-05,1331.25,2001-01-18,1308.15,1.0,-0.017352112676056297,13,-0.03924882629107984,9,0.0,-0.03924882629107984,0.022791243158717833,False,Long
9,2001-01-25,1370.1,2001-02-07,1374.05,1.0,0.0028830012407854433,13,-0.01930516020728401,2,0.014852930443033374,-0.01930516020728401,0.03483049901387991,True,Long
10,2001-02-12,1404.7,2001-02-13,1393.4,1.0,-0.00804442229657576,1,-0.00804442229657576,1,0.0,-0.00804442229657576,0.0,False,Long
11,2001-02-15,1419.7,2001-02-16,1386.6,1.0,-0.02331478481369309,1,-0.02331478481369309,1,0.0,-0.02331478481369309,0.0,False,Long
12,2001-02-21,1370.75,2001-03-26,1160.3,-1.0,0.1535290899142805,33,-0.04611367127496169,9,0.18730621922305313,-0.0,0.18730621922305302,True,Short
13,2001-04-04,1103.55,2001-04-06,1115.55,-1.0,-0.0108739975533505,2,-0.0108739975533505,1,-0.0,-0.0108739975533505,0.0,False,Short
14,2001-04-11,1058.25,2001-04-18,1097.3,-1.0,-0.03690054334986992,7,-0.05891043397968598,3,0.023387668320340227,-0.03690054334986992,0.023387668320340227,False,Short
15,2001-04-19,1130.9,2001-05-10,1128.85,1.0,-0.0018127155362986924,21,-0.04286520022560625,10,0.01905561941816236,-0.024626403749226422,0.033588685916323024,False,Long
16,2001-05-11,1123.5,2001-05-14,1123.5,-1.0,-0.0,3,0.0,0,-0.0,-0.0,0.0,False,Short
17,2001-05-14,1123.5,2001-05-16,1125.6,1.0,0.0018691588785046953,2,-0.0008900756564308443,1,0.0018691588785044733,-0.0008900756564308443,0.002761692650333991,True,Long
18,2001-05-17,1150.1,2001-05-21,1146.2,1.0,-0.003391009477436646,4,-0.003391009477436535,2,0.0,-0.003391009477436646,0.0,False,Long
19,2001-05-24,1165.75,2001-06-01,1133.6,1.0,-0.02757881192365441,8,-0.04542966611932131,3,0.018700407463006608,-0.02757881192365441,0.018700407463006608,False,Long
20,2001-06-01,1133.6,2001-06-28,1094.0,-1.0,0.034932956951305494,27,-0.022820191906549825,4,0.05725123500352858,-0.0,0.05725123500352858,True,Short
21,2001-07-10,1075.75,2001-07-12,1102.0,-1.0,-0.024401580292819025,2,-0.024401580292819025,2,-0.0,-0.024401580292819025,0.0,False,Short
22,2001-07-12,1102.0,2001-07-13,1098.3,1.0,-0.003357531760435628,1,-0.003357531760435628,1,0.0,-0.003357531760435628,0.0,False,Long
23,2001-07-17,1098.0,2001-07-26,1054.5,1.0,-0.0396174863387978,9,-0.0396174863387978,7,0.0,-0.0396174863387978,0.0,False,Long
24,2001-08-09,1066.1,2001-08-30,1064.15,1.0,-0.0018290967076257658,21,-0.011793657426753756,9,0.010083481849732623,-0.0020635962855265477,0.012172196635021892,False,Long
25,2001-08-30,1064.15,2001-09-28,908.7,-1.0,0.14607903021190627,29,-0.04187288867939354,5,0.19616595404783166,-0.0,0.19616595404783155,True,Short
26,2001-10-18,956.5,2001-10-30,950.0,1.0,-0.006795608991113422,12,-0.038850667745851886,4,0.033350757971772005,-0.006795608991113533,0.03335075797177223,False,Long
27,2001-11-14,1006.1,2001-12-03,1057.5,1.0,0.051088360997912696,19,-0.023455536060578264,4,0.07633436040155073,0.0,0.07633436040155073,True,Long
28,2001-12-05,1105.65,2001-12-06,1105.85,1.0,0.00018088906977786756,1,0.0,0,0.00018088906977786756,0.0,0.00018088906977786756,True,Long
29,2001-12-26,1036.45,2002-01-04,1098.8,-1.0,-0.06015726759612128,9,-0.07484091556653061,6,0.015871484393844337,-0.0601572675961215,0.015871484393844337,False,Short
30,2002-01-21,1090.25,2002-02-06,1118.75,-1.0,-0.026140793396010054,16,-0.04518884892086339,5,0.019949552854849895,-0.026140793396010054,0.024271173951089242,False,Short
31,2002-02-06,1118.75,2002-02-20,1141.6,1.0,0.02042458100558653,14,-0.01670973298880274,2,0.03776536312849155,-0.010145251396648014,0.04840166154957548,True,Long
32,2002-02-25,1157.55,2002-02-28,1142.05,1.0,-0.013390350308841947,3,-0.0340846619021441,1,0.021424560494147205,-0.013390350308841947,0.021424560494147205,False,Long
33,2002-03-13,1157.75,2002-03-14,1158.55,-1.0,-0.0006909954653422368,1,-0.0006909954653422368,1,1.1102230246251565e-16,-0.0006909954653422368,0.0,False,Short
34,2002-03-19,1158.5,2002-04-10,1140.1,-1.0,0.01588260681916276,22,-0.011649913782226351,5,0.026197669400086165,-0.0035390591281829753,0.029842342342342176,True,Short
35,2002-04-18,1134.2,2002-05-06,1104.7,-1.0,0.026009522130135743,18,-0.014523436507600573,4,0.041130312114265655,-0.0,0.041130312114265655,True,Short
36,2002-05-07,1110.4,2002-05-20,1076.25,1.0,-0.030754682997118254,13,-0.04439511653718087,7,0.014274135446685765,-0.030754682997118254,0.014274135446685765,False,Long
37,2002-05-21,1054.4,2002-06-04,1051.0,-1.0,0.003224582701062295,14,-0.030105928266121906,4,0.021102048558421793,-0.01005311077389992,0.03147154627323223,True,Short
38,2002-06-05,1062.7,2002-06-24,1064.35,1.0,0.00155264891314566,19,-0.024391362156709784,9,0.026206831655217755,-0.013879740284181818,0.04065079440813002,True,Long
39,2002-07-08,1080.85,2002-07-15,1049.6,1.0,-0.028912430031919345,7,-0.028912430031919345,5,0.0,-0.028912430031919345,0.0017915232662297775,False,Long
40,2002-07-15,1049.6,2002-08-09,966.7,-1.0,0.07898246951219501,25,-0.013701628436350699,3,0.08927210365853644,-0.0,0.08927210365853644,True,Short
41,2002-08-26,998.3,2002-09-06,992.1,1.0,-0.006210557948512441,11,-0.015676158349042346,4,0.009616347791244984,-0.014324351397375423,0.024288617886178532,False,Long
42,2002-09-12,994.0,2002-09-16,979.35,1.0,-0.014738430583500994,4,-0.014738430583500994,2,0.0,-0.014738430583500994,0.0,False,Long
43,2002-09-24,962.75,2002-10-08,963.3,-1.0,-0.0005712801869643958,14,-0.014745033790702577,3,0.014385873799013349,-0.014489742923915916,0.029300168634064372,False,Short
44,2002-10-25,935.9,2002-11-04,963.45,-1.0,-0.029436905652313383,10,-0.03786675140345297,5,0.008761619831178402,-0.029436905652313383,0.008761619831178402,False,Short
45,2002-11-07,960.65,2002-12-09,1063.0,1.0,0.10654244521938283,32,-0.022317033147358112,3,0.12023109353042227,-0.005308905428615951,0.12621003610486103,True,Long
46,2003-01-10,1085.55,2003-02-07,1058.1,-1.0,0.025286721016996028,28,-0.02613286405631321,6,0.046934733545207497,-0.001704205241582768,0.0487219710251916,True,Short
47,2003-02-24,1073.15,2003-03-04,1053.9,1.0,-0.017937846526580592,8,-0.019894702511298545,6,0.0,-0.019894702511298545,0.017779045445902142,False,Long
48,2003-03-11,1015.65,2003-03-25,1012.05,-1.0,0.003544528134692082,14,-0.03403229693902121,5,0.02126716880815238,-0.013488898734800303,0.02126716880815227,True,Short
49,2003-04-04,1014.8,2003-04-07,1028.65,-1.0,-0.013648009459992227,3,-0.013648009459992227,1,-0.0,-0.013648009459992227,0.0,False,Short
50,2003-04-11,959.8,2003-04-29,930.3,-1.0,0.030735569910398053,18,-0.006744673241020127,2,0.031933736195040585,-0.0,0.031933736195040474,True,Short
51,2003-05-05,945.85,2003-06-16,1040.3,1.0,0.0998572712375112,42,-0.01753369839932617,5,0.10551355923243633,-0.013638526193371137,0.12079961412723073,True,Long
52,2003-06-17,1070.8,2003-06-23,1085.55,1.0,0.01377474785207311,6,-0.009579854933625342,1,0.023580500560328677,0.0,0.023580500560328677,True,Long
53,2003-06-24,1087.0,2003-07-01,1121.2,1.0,0.03146274149034034,7,-0.0021359914560342697,1,0.03367065317387308,0.0,0.03367065317387308,True,Long
54,2003-07-21,1118.75,2003-08-01,1186.95,-1.0,-0.060960893854748566,11,-0.0658456340032012,8,0.005229050279329517,-0.06096089385474879,0.005229050279329517,False,Short
55,2003-08-21,1303.3,2003-09-04,1370.9,1.0,0.051868334228496904,14,-0.029603383243799075,2,0.06287884600629168,-0.0228650349113787,0.08775029446407512,True,Long
56,2003-09-08,1422.7,2003-09-10,1416.4,1.0,-0.0044281999015954865,2,-0.009278133127152755,2,2.220446049250313e-16,-0.009278133127152532,0.004895352962043242,False,Long
57,2003-09-15,1339.85,2003-09-29,1405.15,-1.0,-0.048736798895398836,14,-0.07644650556139276,5,0.030003358584916096,-0.048736798895398836,0.053191895295150005,False,Short
58,2003-11-03,1609.0,2003-11-14,1558.25,1.0,-0.03154133001864512,11,-0.03776089909843139,8,0.006463642013672999,-0.03154133001864512,0.0085122363397383,False,Long
59,2003-11-14,1558.25,2003-11-28,1619.95,-1.0,-0.03959570030482906,14,-0.05886237147438922,5,0.020471682977699412,-0.03959570030482906,0.04227706223576844,False,Short
60,2003-11-28,1619.95,2003-12-17,1722.05,1.0,0.06302663662458707,19,-0.01742264049795994,2,0.06552671378746222,0.0,0.06552671378746222,True,Long
61,2003-12-18,1746.85,2004-01-12,1953.55,1.0,0.1183272748089419,25,-0.017474388779602834,2,0.13538655293814572,0.0,0.13538655293814572,True,Long
62,2004-01-16,1908.5,2004-02-09,1883.35,-1.0,0.013177888394026782,24,-0.061527093596059124,5,0.07126015195179458,-0.02009431490699498,0.09322781595059215,True,Short
63,2004-02-23,1810.3,2004-03-05,1874.75,-1.0,-0.03560183395017402,11,-0.05873948673711449,5,0.02458156106722642,-0.03560183395017402,0.031791505576725054,False,Short
64,2004-03-05,1874.75,2004-03-15,1759.0,1.0,-0.06174156554207233,10,-0.06714043275350023,5,0.005787438325109973,-0.06174156554207233,0.005787438325109973,False,Long
65,2004-03-16,1745.65,2004-03-29,1764.65,-1.0,-0.010884197863260114,13,-0.042797350112259935,5,0.03334001661272301,-0.010884197863260114,0.03702319698755363,False,Short
66,2004-04-01,1811.1,2004-04-20,1841.05,1.0,0.016536911269394272,19,-0.024342926997794168,5,0.03884379658770931,0.0,0.03884379658770931,True,Long
67,2004-05-10,1747.15,2004-05-28,1482.4,-1.0,0.15153249577883987,18,-0.12241822944435432,9,0.23455341556248765,0.0,0.23455341556248754,True,Short
68,2004-06-15,1491.05,2004-06-21,1475.85,1.0,-0.010194158478924242,6,-0.02216259193003378,2,0.012239696857918814,-0.010194158478924353,0.016260983739016188,False,Long
69,2004-06-28,1496.0,2004-07-20,1551.65,1.0,0.03719919786096271,22,-0.035135135135135,7,0.04237967914438512,-0.007419786096256598,0.05017172873594178,True,Long
70,2004-07-22,1587.45,2004-08-06,1633.35,1.0,0.028914296513275817,15,-0.014153790439401348,2,0.04368641532016748,0.0,0.04368641532016748,True,Long
71,2004-08-13,1598.0,2004-08-30,1621.65,-1.0,-0.014799749687108843,17,-0.025954340159623834,5,0.011451814768460467,-0.014799749687109065,0.017084604977503526,False,Short
72,2004-09-16,1697.1,2004-09-28,1702.65,1.0,0.0032702846031467114,12,-0.028306463118847103,4,0.03249661186730313,0.0,0.03249661186730313,True,Long
73,2004-09-29,1730.65,2004-10-01,1778.8,1.0,0.027821916620922593,2,0.0,0,0.027821916620922815,0.0,0.027821916620922593,True,Long
74,2004-10-04,1804.25,2004-10-06,1793.1,1.0,-0.006179853124567036,2,-0.010621568681545956,1,0.004489400027712254,-0.006179853124567036,0.004489400027712476,False,Long
75,2004-10-07,1815.5,2004-10-12,1785.8,1.0,-0.016359129716331577,5,-0.017522625367920153,3,0.0011842467639768817,-0.016359129716331577,0.0011842467639768817,False,Long
76,2004-10-18,1785.15,2004-11-05,1856.8,-1.0,-0.04013668319188857,18,-0.054464187175808365,9,0.015152788281096896,-0.04013668319188857,0.029278959475193878,False,Short
77,2004-11-29,1941.4,2004-12-13,1982.75,1.0,0.021299062532193158,14,-0.015095000876161002,6,0.02881940867415267,0.0,0.02881940867415267,True,Long
78,2005-01-06,1998.5,2005-01-27,1955.0,-1.0,0.021766324743557663,21,-0.02153860897481963,6,0.04425819364523398,-0.01065799349512142,0.055507788792231505,True,Short
79,2005-02-11,2093.7,2005-02-16,2072.85,1.0,-0.009958446768878026,5,-0.014008466917186047,2,0.004107560777570907,-0.009958446768878026,0.004107560777570907,False,Long
80,2005-03-04,2144.5,2005-03-14,2138.95,1.0,-0.002588015854511627,10,-0.00972244727887217,4,0.007204476567964413,-0.002588015854511627,0.007204476567964413,False,Long
81,2005-03-17,2101.3,2005-04-07,2039.95,-1.0,0.029196211868843136,21,-0.03355068703323494,7,0.054609051539523334,-0.005877314043687187,0.06084396467124664,True,Short
82,2005-04-15,1940.05,2005-05-02,1907.35,-1.0,0.01685523568980185,17,-0.03513832108550052,7,0.029999226824050984,-0.00853070797144384,0.038861450480893955,True,Short
83,2005-05-03,1903.05,2005-06-08,2094.35,1.0,0.10052284490686003,36,-0.017641104738034485,5,0.10052284490686003,0.0,0.10052284490686003,True,Long
84,2005-06-15,2110.35,2005-06-16,2100.45,1.0,-0.004691164972634887,1,-0.004691164972634998,1,0.0,-0.004691164972634998,0.0,False,Long
85,2005-06-30,2220.6,2005-07-05,2196.95,1.0,-0.010650274700531481,5,-0.012118350645262899,1,0.0014860848419346873,-0.01065027470053137,0.007725944219135972,False,Long
86,2005-07-07,2164.8,2005-07-21,2226.6,-1.0,-0.02854767184035456,14,-0.033998521803399795,10,-0.0,-0.033998521803399795,0.020116776587948637,False,Short
87,2005-07-21,2226.6,2005-08-08,2315.5,1.0,0.039926345100152805,18,-0.017919626762803564,2,0.05890146411569197,0.0,0.05890146411569197,True,Long
88,2005-08-25,2354.55,2005-09-06,2422.8,-1.0,-0.02898643052812644,12,-0.04723605525805852,6,0.019154403176827928,-0.02898643052812644,0.019154403176827817,False,Short
89,2005-09-15,2516.15,2005-09-22,2474.85,1.0,-0.016413965781054474,7,-0.03418603289820299,2,0.018401128708542824,-0.016413965781054474,0.018401128708542824,False,Long
90,2005-09-26,2559.9,2005-09-29,2611.2,1.0,0.020039845306457194,3,0.0,0,0.020039845306457194,0.0,0.020039845306457194,True,Long
91,2005-10-06,2567.45,2005-10-10,2562.5,1.0,-0.0019279830181696544,4,-0.002025158702340546,1,9.737287970557063e-05,-0.0019279830181696544,9.737287970557063e-05,False,Long
92,2005-10-14,2486.5,2005-11-02,2409.55,-1.0,0.03094711441785636,19,-0.041951638823485404,4,0.0760908908103759,-0.0,0.0760908908103759,True,Short
93,2005-11-18,2624.2,2005-11-30,2649.65,1.0,0.009698193735233618,12,-0.026311437758383183,3,0.036982699489368276,-0.01975840256078043,0.05788481349738572,True,Long
94,2005-12-14,2801.4,2005-12-15,2767.7,1.0,-0.01202969943599641,1,-0.012029699435996632,1,2.220446049250313e-16,-0.01202969943599641,0.0,False,Long
95,2005-12-26,2738.7,2006-01-06,2895.65,-1.0,-0.05730821192536606,11,-0.05730821192536628,9,-0.0,-0.05730821192536628,0.004459350583650323,False,Short
96,2006-01-09,2893.45,2006-01-10,2857.3,1.0,-0.0124937358516648,1,-0.012493735851665022,1,2.220446049250313e-16,-0.0124937358516648,0.0,False,Long
97,2006-01-17,2801.85,2006-01-25,2940.35,-1.0,-0.049431625533129964,8,-0.05107421527060252,5,0.0017309991612683984,-0.049431625533129964,0.005875505792361846,False,Short
98,2006-01-31,3002.25,2006-02-03,2921.8,1.0,-0.026796569239736834,3,-0.026796569239736945,3,2.220446049250313e-16,-0.026796569239736723,0.0,False,Long
99,2006-02-07,3004.15,2006-02-13,3028.2,1.0,0.008005592264034744,6,-0.003728176023168106,1,0.008005592264034744,-0.003728176023167884,0.011777677542224252,True,Long
100,2006-02-16,3013.85,2006-02-17,2978.4,1.0,-0.011762363754002303,1,-0.011762363754002525,1,2.220446049250313e-16,-0.011762363754002303,0.0,False,Long
101,2006-02-20,3010.1,2006-02-21,3039.45,1.0,0.009750506627686839,1,0.0,0,0.009750506627686839,0.0,0.009750506627686839,True,Long
102,2006-03-02,3134.55,2006-03-08,3082.65,1.0,-0.01655740058381594,6,-0.03227173554756768,2,0.01623837552439733,-0.01655740058381583,0.01623837552439733,False,Long
103,2006-03-10,3166.45,2006-03-17,3213.95,1.0,0.015001026386015859,7,-0.0028137133156230787,1,0.015001026386015859,-1.1102230246251565e-16,0.01500102638601608,True,Long
104,2006-03-24,3279.9,2006-04-12,3387.0,1.0,0.032653434555931504,19,-0.03509771522990135,3,0.07021555535229718,-1.1102230246251565e-16,0.0702155553522974,True,Long
105,2006-05-15,3462.05,2006-06-05,2957.3,-1.0,0.1457951213876172,21,-0.051761239727906805,7,0.16526335552634996,-0.051761239727906805,0.228871255159389,True,Short
106,2006-06-06,2902.8,2006-06-15,2786.7,-1.0,0.039995866060355656,9,-0.05284954586098156,2,0.09802604381976032,-0.0,0.09802604381976021,True,Short
107,2006-06-23,3042.25,2006-07-14,3091.4,1.0,0.016155805735886375,21,-0.04121321093971808,4,0.04554195085873958,-0.03669981099515163,0.08537500853067659,True,Long
108,2006-07-26,3111.4,2006-07-31,3111.45,-1.0,-1.6069936362939075e-05,5,-0.014334383235842463,1,0.00425853313620872,-0.014334383235842463,0.01886331029085686,False,Short
109,2006-07-31,3111.45,2006-08-24,3376.6,1.0,0.08521750309341303,24,-0.01514912916128619,2,0.08521750309341303,-1.1102230246251565e-16,0.08521750309341325,True,Long
110,2006-09-12,3386.95,2006-09-21,3556.85,-1.0,-0.05016312611641749,9,-0.05016312611641727,7,-0.0,-0.05016312611641727,0.01430292310272785,False,Short
111,2006-10-11,3545.8,2006-10-13,3678.4,-1.0,-0.03739635625246773,2,-0.03739635625246751,2,1.1102230246251565e-16,-0.03739635625246751,0.0,False,Short
112,2006-10-13,3678.4,2006-10-31,3752.35,1.0,0.0201038494997825,18,-0.0163197380252581,7,0.02628860374075681,-0.0037108525445846974,0.030111194488027904,True,Long
113,2006-11-03,3814.5,2006-11-10,3842.0,1.0,0.007209332809018143,7,-0.008143173219171795,3,0.007209332809018143,-0.006934067374491981,0.014242156254537175,True,Long
114,2006-11-24,3953.7,2006-11-27,3977.35,1.0,0.0059817386245795134,3,0.0,0,0.0059817386245795134,0.0,0.0059817386245795134,True,Long
115,2006-12-11,3839.85,2006-12-26,3938.95,-1.0,-0.025808299803377732,15,-0.05846893444582868,9,0.0346888550333998,-0.025808299803377732,0.0355633755881688,False,Short
116,2007-01-10,3839.65,2007-01-12,4058.7,-1.0,-0.05704947065487742,2,-0.05704947065487742,2,-0.0,-0.05704947065487742,0.0,False,Short
117,2007-01-22,4108.35,2007-01-29,4108.8,1.0,0.0001095330242066872,7,-0.009378691805096762,2,0.009578054450083195,-0.008567916560176303,0.018302787768680107,True,Long
118,2007-02-02,4174.2,2007-02-12,4053.6,1.0,-0.02889176369124624,10,-0.03922637529330908,3,0.0107565521537063,-0.02889176369124613,0.0107565521537063,False,Long
119,2007-02-12,4053.6,2007-03-14,3599.55,-1.0,0.11201154529307278,30,-0.046090228038039305,7,0.12454361555160842,-0.030306394316163443,0.1596896266615786,True,Short
120,2007-04-04,3706.4,2007-04-09,3825.55,1.0,0.03214709691344697,5,0.0,0,0.03214709691344697,0.0,0.03214709691344697,True,Long
